unified_id,month,zipcode,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
AIR10000347,2020-01,92315,Big Bear Lake,2-5 Units,3,2,10,899.9599915,31,0.064516129,449.9799957,52,3
AIR10000347,2020-10,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2020-11,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,,
AIR10000347,2020-12,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2020-02,92315,Big Bear Lake,2-5 Units,3,2,10,450,29,0.034482759,450,8,1
AIR10000347,2020-03,92315,Big Bear Lake,2-5 Units,3,2,10,0,31,0,,,
AIR10000347,2020-04,92315,Big Bear Lake,2-5 Units,3,2,10,0,8,0,,,
AIR10000347,2020-07,92315,Big Bear Lake,2-5 Units,3,2,10,12600,29,0.965517241,450,7.363636364,2.545454545
AIR10000347,2020-08,92315,Big Bear Lake,2-5 Units,3,2,10,0,31,0,,,
AIR10000347,2020-09,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,11,174
AIR10000347,2021-01,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2021-10,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2021-11,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,,
AIR10000347,2021-12,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2021-02,92315,Big Bear Lake,2-5 Units,3,2,10,9450,28,0.75,450,,
AIR10000347,2021-03,92315,Big Bear Lake,2-5 Units,3,2,10,5400,31,0.387096774,450,6.625,1.5
AIR10000347,2021-04,92315,Big Bear Lake,2-5 Units,3,2,10,0,30,0,,,
AIR10000347,2021-05,92315,Big Bear Lake,2-5 Units,3,2,10,0,31,0,,,
AIR10000347,2021-06,92315,Big Bear Lake,2-5 Units,3,2,10,0,30,0,,,
AIR10000347,2021-07,92315,Big Bear Lake,2-5 Units,3,2,10,0,31,0,,,
AIR10000347,2021-08,92315,Big Bear Lake,2-5 Units,3,2,10,1350,31,0.096774194,450,8,343
AIR10000347,2021-09,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,,
AIR10000347,2022-01,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2022-02,92315,Big Bear Lake,2-5 Units,3,2,10,12600,28,1,450,,
AIR10000347,2022-03,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2022-04,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,,
AIR10000347,2022-05,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2022-06,92315,Big Bear Lake,2-5 Units,3,2,10,13500,30,1,450,,
AIR10000347,2022-07,92315,Big Bear Lake,2-5 Units,3,2,10,13950,31,1,450,,
AIR10000347,2022-08,92315,Big Bear Lake,2-5 Units,3,2,10,2700,6,1,450,,
AIR10052559,2020-01,92315,Big Bear Lake,Professionals,3,2.5,8,10055,31,0.516129032,628.4375,20.71428571,2.428571429
AIR10052559,2020-10,92315,Big Bear Lake,Professionals,3,2.5,8,20959,31,1,676.0967742,18,9
AIR10052559,2020-11,92315,Big Bear Lake,Professionals,3,2.5,8,13622,30,0.733333333,619.1818182,22.6,4.4
